username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sunilscribbles;2018-01-16 20:15;0;0;"Suadi screens the "Emoji" movie marking the end of movie ban. I am sure people will start chanting "We want the ban back!" #saudimovietitles";;;#saudimovietitles;"953329849220943872";https://twitter.com/sunilscribbles/status/953329849220943872
GDNonline;2018-01-11 18:15;0;1;"Children's movies resume after three-decade ban #Saudi #saudimovietitles http://www. gdnonline.com/Details/302344 /Children-movies-resume-after-three-decade-ban … pic.twitter.com/QWFcRiB02D";;;#Saudi #saudimovietitles;"951487831830073347";https://twitter.com/GDNonline/status/951487831830073347
WeqarMalik1;2017-12-29 23:00;1;2;"sleepless nights Tired AF #TrapaDrive #GainWithXtianDela #depression #SaudiMovieTitles #NewYork #anxietyproblems";;;#TrapaDrive #GainWithXtianDela #depression #SaudiMovieTitles #NewYork #anxietyproblems;"946848472216555520";https://twitter.com/WeqarMalik1/status/946848472216555520
JoshuaS1979;2017-12-29 19:30;0;0;"Fahrenheit 9/11. #SaudiMovieTitles";;;#SaudiMovieTitles;"946795498806984704";https://twitter.com/JoshuaS1979/status/946795498806984704
isaali19;2017-12-29 08:39;0;0;"At least 109 civilians killed by Saudi coalition's raids, U.N. says.......#SaudiMovieTitles #qatar#uae#egypt#kingsalman#bahrain#turkey http://www. reuters.com/article/us-yem en-security-un/at-least-109-civilians-killed-by-saudi-coalitions-raids-u-n-says-idUSKBN1EM0WL …";;;#SaudiMovieTitles #qatar #uae #egypt #kingsalman #bahrain #turkey;"946631640058654720";https://twitter.com/isaali19/status/946631640058654720
Goldnewscy;2017-12-28 12:03;0;0;"Apple and Amazon in Talks to Set Up In Saudi Arabia #Apple #Amazon #SaudiMovieTitles #business http://www. goldnews.com.cy/en/companies/a pple-and-amazon-in-talks-to-set-up-in-saudi-arabia … pic.twitter.com/3wW0PKgwqZ";;;#Apple #Amazon #SaudiMovieTitles #business;"946320689497362432";https://twitter.com/Goldnewscy/status/946320689497362432
abcdaee198;2017-12-26 23:59;2;4;"Sir: Why does the world share the killing of our children in Yemen with weapons and silence about the crimes of the Saudi #1000DaysOfWarOnYemen #YemenGenocide #YemensChildren #YemenFamine #SaudiWarOnYemen #SaudiMovieTitles #UN #USA #UK #YemenCantWait pic.twitter.com/X9A3GTuDeO";;;#1000DaysOfWarOnYemen #YemenGenocide #YemensChildren #YemenFamine #SaudiWarOnYemen #SaudiMovieTitles #UN #USA #UK #YemenCantWait;"945776002747305984";https://twitter.com/abcdaee198/status/945776002747305984
EDPressTV;2017-12-26 13:11;13;17;"#SaudiArabia is the main recipients of #US weapons in the #MiddleEast . #MohammedBinSalman #YemenCantWait #Yemenchildren #Riyadh #SAUDIPURGE #SaudiMovieTitles @KavehTaghvai @georgegalloway #PleaseRespond http:// bit.ly/2Bx63DF pic.twitter.com/fBNvD8j6Sd";;@KavehTaghvai @georgegalloway;#SaudiArabia #US #MiddleEast #MohammedBinSalman #YemenCantWait #Yemenchildren #Riyadh #SAUDIPURGE #SaudiMovieTitles #PleaseRespond;"945613037691645952";https://twitter.com/EDPressTV/status/945613037691645952
abbasimukhtiar;2017-12-26 12:36;0;7;"پاکستان کے مولوی صاحبان کو ابھی کون سے ملک کا نظام چاہیئے ؟ سعودی عرب نے تو ڈانسز کلب٬ ناچ گانے٬ عورتوں کو آزاد زندگی گذارنے اور کافی ساری سوشل لائیف گذارنے کا حق دے دیا ہے ٬ ابھی مولوی صاحب خاموش کیوں ہیں ؟ #SaudiArabia #SaudiMovieTitles pic.twitter.com/33njpdOnZT";;;#SaudiArabia #SaudiMovieTitles;"945604285726953473";https://twitter.com/abbasimukhtiar/status/945604285726953473
Pythone7;2017-12-25 18:10;0;1;"#SaudiMovieTitles sa7ib Jalala land";;;#SaudiMovieTitles;"945325822528884736";https://twitter.com/Pythone7/status/945325822528884736
Pythone7;2017-12-25 18:05;0;0;"#SaudiMovieTitles the KingFather";;;#SaudiMovieTitles;"945324531941629957";https://twitter.com/Pythone7/status/945324531941629957
AhmedYNZ;2017-12-25 14:49;1;2;"#SaudiMovieTitles : Dumb & Dumber. pic.twitter.com/GNOr6b9xbf";;;#SaudiMovieTitles;"945275389718548481";https://twitter.com/AhmedYNZ/status/945275389718548481
